Names,A1,A2,A3,A4,A5,Sample,Group
C_WestAsia_Iran_SAMC036723.CanFam31.bam,0.701046786,0.061790266,1.00E-09,0.237162945,1.00E-09,Iran_SAMC036723.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam,0.661786014,0.009308274,0.14333645,0.173863428,0.011705833,Iran_SRR20326411.merge.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam,0.59636366,0.293550819,0.000000001,0.096486968,0.013598552,Iran_SRR20326410.merge.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam,0.681453928,0.000000001,0.121959582,0.184365994,0.012220494,Iran_SRR20326408.merge.CanFam31.bam,WestAsia
C_WestAsia_MW387.CanFam31.realigned.bam,0.73103238,0.042033221,0.045234075,0.178209551,0.003490772,MW387.CanFam31.realigned.bam,WestAsia
H_Europe_PortugueseWolf.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,PortugueseWolf.CanFam31.realigned.bam,Europe
H_Europe_IberianWolf.CanFam31.realigned.bam,0.784179594,0.215820403,1.00E-09,1.00E-09,1.00E-09,IberianWolf.CanFam31.realigned.bam,Europe
H_Europe_wSierraMorena.CanFam31.realigned.bam,0.548561132,0.451438865,1.00E-09,1.00E-09,1.00E-09,wSierraMorena.CanFam31.realigned.bam,Europe
H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,Europe
H_Europe_MW005.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW005.CanFam31.realigned.bam,Europe
H_Europe_MW347.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW347.CanFam31.realigned.bam,Europe
H_Europe_MW020.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW020.CanFam31.realigned.bam,Europe
H_Europe_MW045.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW045.CanFam31.realigned.bam,Europe
H_Europe_MW062.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW062.CanFam31.realigned.bam,Europe
H_Europe_MW515.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW515.CanFam31.realigned.bam,Europe
H_Europe_MW707A.CanFam31.realigned.bam,0.957981024,0.042018973,1.00E-09,1.00E-09,1.00E-09,MW707A.CanFam31.realigned.bam,Europe
H_Europe_MW703A.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW703A.CanFam31.realigned.bam,Europe
H_Europe_MW706A.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW706A.CanFam31.realigned.bam,Europe
H_Europe_MW1126.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW1126.CanFam31.realigned.bam,Europe
H_Europe_MW1135.CanFam31.realigned.bam,0.964715183,1.00E-09,0.035284814,1.00E-09,1.00E-09,MW1135.CanFam31.realigned.bam,Europe
H_Europe_MW336.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW336.CanFam31.realigned.bam,EastAsia
H_Europe_MW339.CanFam31.realigned.bam,0.95433083,0.045669167,1.00E-09,1.00E-09,1.00E-09,MW339.CanFam31.realigned.bam,Europe
H_Europe_MW055.CanFam31.realigned.bam,0.999999996,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW055.CanFam31.realigned.bam,Europe
H_Europe_Wang_GW3.CanFam31.realigned.bam,0.905356847,0.005464144,0.089179008,1.00E-09,1.00E-09,Wang_GW3.CanFam31.realigned.bam,Europe
F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam,0.324834378,1.00E-09,0.617001984,0.058163636,1.00E-09,Chinese_CAN24.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam,0.420393159,0.000546617,0.534035411,0.045024812,1.00E-09,Chinese_CAN30.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Wang_GW1.CanFam31.realigned.bam,0.357456428,0.050014885,0.564515975,0.028012711,1.00E-09,Wang_GW1.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam,0.324145538,0.437308136,0.221809707,0.016736153,4.66E-07,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam,0.255742679,1.00E-09,0.668668101,0.075589218,1.00E-09,Kazakhstan_SRR20326405.CanFam31.bam,CentralAsia
F_CentralAsia_AW012.CanFam31.realigned.bam,0.519496553,0.019894743,0.157686638,0.291332985,0.011589082,AW012.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam,0.344941185,1.00E-09,0.606621916,0.043274835,0.005162063,Russia_SRR20326404.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam,0.331809807,1.00E-09,0.648775105,0.019415086,1.00E-09,Russia_SRR20326403.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326401.CanFam31.bam,0.228808943,1.00E-09,0.771191054,1.00E-09,1.00E-09,Russia_SRR20326401.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam,0.106964364,0.011647148,0.881388486,1.00E-09,1.00E-09,Russia_SRR20326400.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam,0.660088297,0.032449115,0.214888388,0.073383027,0.019191173,Russia_SRR20326388.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam,0.285321755,1.00E-09,0.519032585,0.195645658,1.00E-09,Tajikistan_SRR20326385.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326384.CanFam31.bam,0.258051458,0.008444771,0.568781736,0.164722034,1.00E-09,Tajikistan_SRR20326384.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam,0.290523843,1.00E-09,0.592605762,0.116870393,1.00E-09,Tajikisan_SRR20326383.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam,0.292612037,0.00026677,0.53485687,0.172264322,1.00E-09,Tajikistan_SRR20326382.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326381.CanFam31.bam,0.298811992,1.00E-09,0.540310104,0.160877902,1.00E-09,Tajikistan_SRR20326381.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam,0.271502676,1.00E-09,0.571087324,0.157409998,1.00E-09,Tajikistan_SRR20326251.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam,0.2096262,0.105671254,0.538290538,0.146412006,1.00E-09,Tajikistan_SRR20326250.merge.CanFam31.bam,CentralAsia
F_CentralAsia_750114-25D.CanFam31.realigned.bam,0.627186543,1.00E-09,0.313808748,0.059004707,1.00E-09,750114-25D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750119-30D.CanFam31.realigned.bam,0.585709137,1.00E-09,0.357607619,0.056683242,1.00E-09,750119-30D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750125-33D.CanFam31.realigned.bam,0.915052856,1.00E-09,0.052624541,0.032322601,1.00E-09,750125-33D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750117-28D.CanFam31.realigned.bam,0.692061461,1.00E-09,0.242781717,0.065156821,1.00E-09,750117-28D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750282-35D.CanFam31.realigned.bam,0.65992175,1.00E-09,0.312204444,0.027873804,1.00E-09,750282-35D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750016-17D.CanFam31.realigned.bam,0.729566673,1.00E-09,0.270417819,1.55E-05,1.00E-09,750016-17D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_China_SRR20326486.merge.CanFam31.bam,0.343640511,1.00E-09,0.59682066,0.059538827,1.00E-09,China_SRR20326486.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326485.merge.CanFam31.bam,0.271054804,1.00E-09,0.653902996,0.075042199,1.00E-09,China_SRR20326485.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326484.merge.CanFam31.bam,0.30372065,2.04E-05,0.647364234,0.048894739,0.000000001,China_SRR20326484.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326483.merge.CanFam31.bam,0.355312658,0.000000001,0.581816421,0.059613378,0.003257542,China_SRR20326483.merge.CanFam31.bam,CentralAsia
F_CentralAsia_MW486.CanFam31.realigned.bam,0.855076322,1.00E-09,0.116986197,0.027937479,1.00E-09,MW486.CanFam31.realigned.bam,CentralAsia
G_EastAsia_China_SRR20326491.merge.CanFam31.bam,1.00E-09,1.00E-09,0.999999996,1.00E-09,1.00E-09,China_SRR20326491.merge.CanFam31.bam,EastAsia
G_EastAsia_China_SRR20326479.CanFam31.bam,1.00E-09,0.436282293,0.563717704,1.00E-09,1.00E-09,China_SRR20326479.CanFam31.bam,EastAsia
G_EastAsia_MW574.CanFam31.realigned.bam,0.110287314,0.042866643,0.846846041,1.00E-09,1.00E-09,MW574.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW4.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999996,1.00E-09,1.00E-09,Wang_GW4.CanFam31.realigned.bam,EastAsia
G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam,1.00E-09,1.38E-05,0.999986225,1.00E-09,1.00E-09,InnerMongoliaWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW588.CanFam31.realigned.bam,0.185697998,0.007622247,0.806679753,1.00E-09,1.00E-09,MW588.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW561.CanFam31.realigned.bam,0.234182343,0.004515243,0.717191948,0.044110464,0.000000001,MW561.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW524.CanFam31.realigned.bam,0.162602486,1.00E-09,0.837397511,1.00E-09,1.00E-09,MW524.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW538.CanFam31.realigned.bam,0.212262429,1.00E-09,0.787737568,1.00E-09,1.00E-09,MW538.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999996,1.00E-09,1.00E-09,Chinese_CAN7.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999996,1.00E-09,1.00E-09,Chinese_CAN6.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW2.CanFam31.realigned.bam,0.184383342,1.00E-09,0.815616655,1.00E-09,1.00E-09,Wang_GW2.CanFam31.realigned.bam,EastAsia
G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam,0.002309861,0.03821291,0.959477227,1.00E-09,1.00E-09,LiaoNingWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam,1.00E-09,0.013684187,0.98631581,1.00E-09,1.00E-09,Shanxi2Wolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999996,1.00E-09,1.00E-09,Shanxi1Wolf.CanFam31.realigned.bam,EastAsia
I_NorthAmerica_Ellesmere1.CanFam31.realigned.bam,0.296220586,0.039052936,0.597933162,1.00E-09,0.066793314,Ellesmere1.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_AlaskanWolf.CanFam31.realigned.bam,0.276058578,0.044929988,0.622346281,1.00E-09,0.056665152,AlaskanWolf.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_MexicanWolf.CanFam31.realigned.bam,0.272466469,0.081322613,0.525683469,1.00E-09,0.120527449,MexicanWolf.CanFam31.realigned.bam,NorthAmerica
A_A_Dhole_BerlinZoo.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999996,BerlinZoo.CanFam31.realigned.bam,Dhole
A_B_Ethiopianwolf_Ethiopian_wolf_B3.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999996,Ethiopian_wolf_B3.CanFam31.realigned.bam,Ethiopianwolf
A_C_GoldenJackal_Syrian_jackal.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999996,Syrian_jackal.CanFam31.realigned.bam,GoldenJackal
A_D_Africanwolf_KenyaJackal.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999996,KenyaJackal.CanFam31.realigned.bam,Africanwolf
A_D_Africanwolf_ERR4372262_Morocco_Africanwolf.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999996,ERR4372262_Morocco_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_CRR010907_Algeria_Africanwolf.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999996,CRR010907_Algeria_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_Africanwolf_SRR8049196.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999996,Africanwolf_SRR8049196.CanFam31.bam,Africanwolf
A_E_Coyote_CaliforniaCoyote.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.157333157,1.00E-09,0.84266684,CaliforniaCoyote.CanFam31.realigned.bam,Coyote
A_E_Coyote_SRR1518489_Coyote_Illinois.CanFam31.bam,0.000307717,0.16112447,0.11142032,1.00E-09,0.727147492,SRR1518489_Coyote_Illinois.CanFam31.bam,Coyote
Z_Dog_Beagle_SRR7107976.CanFam31.bam,1.00E-09,0.999999996,1.00E-09,1.00E-09,1.00E-09,Beagle_SRR7107976.CanFam31.bam,Dog
Z_Dog_Dauchound_SRR7107971.CanFam31.bam,1.00E-09,0.999999996,1.00E-09,1.00E-09,1.00E-09,Dauchound_SRR7107971.CanFam31.bam,Dog
Z_Dog_SRR7107875_Airdale.CanFam31.bam,1.00E-09,0.999999996,1.00E-09,1.00E-09,1.00E-09,SRR7107875_Airdale.CanFam31.bam,Dog
Z_Dog_MW207.CanFam31.realigned.bam,1.00E-09,0.999999996,1.00E-09,1.00E-09,1.00E-09,MW207.CanFam31.realigned.bam,Dog
Z_Dog_SharPei02.CanFam31.realigned.bam,1.00E-09,0.999999996,1.00E-09,1.00E-09,1.00E-09,SharPei02.CanFam31.realigned.bam,Dog
